title,date_published,genre,director,actors,avg_vote,comb
keeping up with the joneses,2016-10-21,"Action, Comedy",Greg Mottola,"Zach Galifianakis, Isla Fisher, Jon Hamm, Gal Gadot, Patton Oswalt, Ming Zhao, Matt Walsh, Maribeth Monroe, Michael Liu, Kevin Dunn, Dayo Abanikanda, Henry Boston, Jack McQuaid, Bobby Lee, Ying He",5.9,Zach Galifianakis  Isla Fisher  Jon Hamm  Gal Gadot  Patton Oswalt  Ming Zhao  Matt Walsh  Maribeth Monroe  Michael Liu  Kevin Dunn  Dayo Abanikanda  Henry Boston  Jack McQuaid  Bobby Lee  Ying He Greg Mottola Action  Comedy
libertador,2014-07-24,"Biography, Drama, History",Alberto Arvelo,"Edgar Ramírez, Erich Wildpret, María Valverde, Juana Acosta, Mercedes Arbizu, Imanol Arias, Leandro Arvelo, Marta Benvenuty, Jon Bermúdez, Dacio Caballero, Ángel Caballero, Cameron Carlos, Francisco Denis, Alejandro Furth, Marcelo Galván",6.9,Edgar Ramírez  Erich Wildpret  María Valverde  Juana Acosta  Mercedes Arbizu  Imanol Arias  Leandro Arvelo  Marta Benvenuty  Jon Bermúdez  Dacio Caballero  Ángel Caballero  Cameron Carlos  Francisco Denis  Alejandro Furth  Marcelo Galván Alberto Arvelo Biography  Drama  History
delivery man,2014-01-10,"Comedy, Drama",Ken Scott,"Vince Vaughn, Chris Pratt, Cobie Smulders, Andrzej Blumenfeld, Simon Delaney, Bobby Moynihan, Dave Patten, Adam Chanler-Berat, Britt Robertson, Jack Reynor, Amos VanderPoel, Matthew Daddario, Jessica Williams, Leslie Ann Glossner, Derrick Arthur",6.4,Vince Vaughn  Chris Pratt  Cobie Smulders  Andrzej Blumenfeld  Simon Delaney  Bobby Moynihan  Dave Patten  Adam Chanler-Berat  Britt Robertson  Jack Reynor  Amos VanderPoel  Matthew Daddario  Jessica Williams  Leslie Ann Glossner  Derrick Arthur Ken Scott Comedy  Drama
oculus,2014-06-13,"Horror, Mystery",Mike Flanagan,"Karen Gillan, Brenton Thwaites, Katee Sackhoff, Rory Cochrane, Annalise Basso, Garrett Ryan, James Lafferty, Miguel Sandoval, Kate Siegel, Scott Graham, Michael J. Fourticq, Justin Gordon, Catherine Parker, Bob Gebert, Brett Murray",6.5,Karen Gillan  Brenton Thwaites  Katee Sackhoff  Rory Cochrane  Annalise Basso  Garrett Ryan  James Lafferty  Miguel Sandoval  Kate Siegel  Scott Graham  Michael J. Fourticq  Justin Gordon  Catherine Parker  Bob Gebert  Brett Murray Mike Flanagan Horror  Mystery
cheap thrills,2014-06-06,"Comedy, Crime, Drama",E.L. Katz,"Pat Healy, Sara Paxton, Ethan Embry, David Koechner, Amanda Fuller, Laura Covelli, Todd Farmer, Elissa Dowling, Eric Neil Gutierrez, Ruben Pla, Claudia Salinas, Brighton Sharbino, Eli McLaughlin, Butch",6.7,Pat Healy  Sara Paxton  Ethan Embry  David Koechner  Amanda Fuller  Laura Covelli  Todd Farmer  Elissa Dowling  Eric Neil Gutierrez  Ruben Pla  Claudia Salinas  Brighton Sharbino  Eli McLaughlin  Butch E.L. Katz Comedy  Crime  Drama
enough said,2013-10-18,"Comedy, Drama, Romance",Nicole Holofcener,"Julia Louis-Dreyfus, Lennie Loftin, Jessica St. Clair, Christopher Nicholas Smith, Tracey Fairaway, Toni Collette, Ben Falcone, Michaela Watkins, Catherine Keener, Phillip Brock, James Gandolfini, Tavi Gevinson, Nick L. Williams, Ivy Strohmaier, Natasha Sky Lipson",7.0,Julia Louis-Dreyfus  Lennie Loftin  Jessica St. Clair  Christopher Nicholas Smith  Tracey Fairaway  Toni Collette  Ben Falcone  Michaela Watkins  Catherine Keener  Phillip Brock  James Gandolfini  Tavi Gevinson  Nick L. Williams  Ivy Strohmaier  Natasha Sky Lipson Nicole Holofcener Comedy  Drama  Romance
le week-end,2013-10-11,"Comedy, Drama, Romance",Roger Michell,"Lindsay Duncan, Jim Broadbent, Igor Gotesman, Olivier Audibert, Sophie-Charlotte Husson, Etienne Dalibert, Mauricette Laurence, Gabriel Mailhebiau, Violaine Baccon, Damien Favreau, Jeff Goldblum, Déborah Amsellem, Stéphane De Fraia, Brice Beaugier, Charlotte Léo",6.3,Lindsay Duncan  Jim Broadbent  Igor Gotesman  Olivier Audibert  Sophie-Charlotte Husson  Etienne Dalibert  Mauricette Laurence  Gabriel Mailhebiau  Violaine Baccon  Damien Favreau  Jeff Goldblum  Déborah Amsellem  Stéphane De Fraia  Brice Beaugier  Charlotte Léo Roger Michell Comedy  Drama  Romance
a quiet passion,2017-04-07,"Biography, Drama",Terence Davies,"Emma Bell, Sara Vertongen, Rose Williams, Benjamin Wainwright, Keith Carradine, Marieke Bresseleers, David Van Bouwel, Annette Badland, Steve Dan Mills, Joanna Bacon, Daniel Vereenooghe, Michel Delanghe, Maurice Cassiers, Duncan Duff, Jennifer Ehle",6.4,Emma Bell  Sara Vertongen  Rose Williams  Benjamin Wainwright  Keith Carradine  Marieke Bresseleers  David Van Bouwel  Annette Badland  Steve Dan Mills  Joanna Bacon  Daniel Vereenooghe  Michel Delanghe  Maurice Cassiers  Duncan Duff  Jennifer Ehle Terence Davies Biography  Drama
avengers: age of ultron,2015-04-23,"Action, Adventure, Sci-Fi",Joss Whedon,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Jeremy Renner, James Spader, Samuel L. Jackson, Don Cheadle, Aaron Taylor-Johnson, Elizabeth Olsen, Paul Bettany, Cobie Smulders, Anthony Mackie, Hayley Atwell",7.3,Robert Downey Jr.  Chris Hemsworth  Mark Ruffalo  Chris Evans  Scarlett Johansson  Jeremy Renner  James Spader  Samuel L. Jackson  Don Cheadle  Aaron Taylor-Johnson  Elizabeth Olsen  Paul Bettany  Cobie Smulders  Anthony Mackie  Hayley Atwell Joss Whedon Action  Adventure  Sci-Fi
the homesman,2014-11-21,"Drama, Western",Tommy Lee Jones,"Tommy Lee Jones, Hilary Swank, Grace Gummer, Miranda Otto, Sonja Richter, Jo Harvey Allen, Barry Corbin, David Dencik, William Fichtner, Evan Jones, Caroline Lagerfelt, John Lithgow, Tim Blake Nelson, Jesse Plemons, James Spader",6.6,Tommy Lee Jones  Hilary Swank  Grace Gummer  Miranda Otto  Sonja Richter  Jo Harvey Allen  Barry Corbin  David Dencik  William Fichtner  Evan Jones  Caroline Lagerfelt  John Lithgow  Tim Blake Nelson  Jesse Plemons  James Spader Tommy Lee Jones Drama  Western
smurfs: the lost village,2017-03-31,"Animation, Adventure, Comedy",Kelly Asbury,"Demi Lovato, Rainn Wilson, Joe Manganiello, Jack McBrayer, Danny Pudi, Mandy Patinkin, Dee Bradley Baker, Frank Welker, Michelle Rodriguez, Ellie Kemper, Julia Roberts, Ariel Winter, Meghan Trainor, Bret Marnell, Brandon Jeffords",6.0,Demi Lovato  Rainn Wilson  Joe Manganiello  Jack McBrayer  Danny Pudi  Mandy Patinkin  Dee Bradley Baker  Frank Welker  Michelle Rodriguez  Ellie Kemper  Julia Roberts  Ariel Winter  Meghan Trainor  Bret Marnell  Brandon Jeffords Kelly Asbury Animation  Adventure  Comedy
anomalisa,2016-03-11,"Animation, Comedy, Drama","Duke Johnson, Charlie Kaufman","David Thewlis, Jennifer Jason Leigh, Tom Noonan",7.3,David Thewlis  Jennifer Jason Leigh  Tom Noonan Duke Johnson  Charlie Kaufman Animation  Comedy  Drama
dark places,2015-04-08,"Action, Drama, Mystery",Gilles Paquet-Brenner,"Charlize Theron, Sterling Jerins, Nicholas Hoult, Christina Hendricks, Corey Stoll, Tye Sheridan, Andrea Roth, Chloë Grace Moretz, Sean Bridgers, J. LaRose, Shannon Kook, Jennifer Pierce Mathus, Natalie Precht, Madison McGuire, Lori Z. Cordova",6.2,Charlize Theron  Sterling Jerins  Nicholas Hoult  Christina Hendricks  Corey Stoll  Tye Sheridan  Andrea Roth  Chloë Grace Moretz  Sean Bridgers  J. LaRose  Shannon Kook  Jennifer Pierce Mathus  Natalie Precht  Madison McGuire  Lori Z. Cordova Gilles Paquet-Brenner Action  Drama  Mystery
the november man,2014-08-27,"Action, Crime, Thriller",Roger Donaldson,"Pierce Brosnan, Luke Bracey, Olga Kurylenko, Bill Smitrovich, Amila Terzimehic, Lazar Ristovski, Mediha Musliovic, Eliza Taylor, Caterina Scorsone, Akie Kotabe, Will Patton, Patrick Kennedy, Dragan Marinkovic, Ben Willens, Milos Timotijevic",6.3,Pierce Brosnan  Luke Bracey  Olga Kurylenko  Bill Smitrovich  Amila Terzimehic  Lazar Ristovski  Mediha Musliovic  Eliza Taylor  Caterina Scorsone  Akie Kotabe  Will Patton  Patrick Kennedy  Dragan Marinkovic  Ben Willens  Milos Timotijevic Roger Donaldson Action  Crime  Thriller
carol,2015-11-27,"Drama, Romance",Todd Haynes,"Cate Blanchett, Rooney Mara, Kyle Chandler, Sarah Paulson, Jake Lacy, John Magaro, Cory Michael Smith, Kevin Crowley, Nik Pajic, Carrie Brownstein, Trent Rowland, Sadie Heim, Kk Heim, Amy Warner, Michael Haney",7.2,Cate Blanchett  Rooney Mara  Kyle Chandler  Sarah Paulson  Jake Lacy  John Magaro  Cory Michael Smith  Kevin Crowley  Nik Pajic  Carrie Brownstein  Trent Rowland  Sadie Heim  Kk Heim  Amy Warner  Michael Haney Todd Haynes Drama  Romance
the green inferno,2014-10-16,"Adventure, Horror",Eli Roth,"Lorenza Izzo, Ariel Levy, Daryl Sabara, Kirby Bliss Blanton, Magda Apanowicz, Sky Ferreira, Nicolás Martínez, Aaron Burns, Ignacia Allamand, Ramón Llao, Richard Burgi, Matías López, Antonieta Pari, Tatiana Panaifo, Percy Chumbe",5.3,Lorenza Izzo  Ariel Levy  Daryl Sabara  Kirby Bliss Blanton  Magda Apanowicz  Sky Ferreira  Nicolás Martínez  Aaron Burns  Ignacia Allamand  Ramón Llao  Richard Burgi  Matías López  Antonieta Pari  Tatiana Panaifo  Percy Chumbe Eli Roth Adventure  Horror
desert dancer,2016-04-22,"Biography, Drama, Music",Richard Raymond,"Nazanin Boniadi, Freida Pinto, Tom Cullen, Marama Corlett, Reece Ritchie, Simon Kassianides, Mourad Zaoui, Neet Mohan, Akin Gazi, Makram Khoury, Richard David-Caine, Tolga Safer, Bamshad Abedi-Amin, Dana Haqjoo, Davood Ghadami",6.1,Nazanin Boniadi  Freida Pinto  Tom Cullen  Marama Corlett  Reece Ritchie  Simon Kassianides  Mourad Zaoui  Neet Mohan  Akin Gazi  Makram Khoury  Richard David-Caine  Tolga Safer  Bamshad Abedi-Amin  Dana Haqjoo  Davood Ghadami Richard Raymond Biography  Drama  Music
belle,2014-06-13,"Biography, Drama, Romance",Amma Asante,"Matthew Goode, Lauren Julien-Box, Natasha Williams, Alan McKenna, Penelope Wilton, Cara Jenkins, Emily Watson, Tom Wilkinson, Sarah Gadon, Gugu Mbatha-Raw, Miranda Richardson, James Norton, Tom Felton, Timothy Walker, Sam Reid",7.4,Matthew Goode  Lauren Julien-Box  Natasha Williams  Alan McKenna  Penelope Wilton  Cara Jenkins  Emily Watson  Tom Wilkinson  Sarah Gadon  Gugu Mbatha-Raw  Miranda Richardson  James Norton  Tom Felton  Timothy Walker  Sam Reid Amma Asante Biography  Drama  Romance
gods of egypt,2016-06-17,"Action, Adventure, Fantasy",Alex Proyas,"Brenton Thwaites, John Samaha, Courtney Eaton, Nikolaj Coster-Waldau, Paula Arundell, Alia Seror-O'Neill, Emily Wheaton, Elodie Yung, Rachael Blake, Bryan Brown, Michael-Anthony Taylor, Emma Booth, Felix Williamson, Chadwick Boseman, Gerard Butler",5.4,Brenton Thwaites  John Samaha  Courtney Eaton  Nikolaj Coster-Waldau  Paula Arundell  Alia Seror-O'Neill  Emily Wheaton  Elodie Yung  Rachael Blake  Bryan Brown  Michael-Anthony Taylor  Emma Booth  Felix Williamson  Chadwick Boseman  Gerard Butler Alex Proyas Action  Adventure  Fantasy
the family,2013-11-22,"Comedy, Crime, Thriller",Luc Besson,"Robert De Niro, Michelle Pfeiffer, Dianna Agron, John D'Leo, Tommy Lee Jones, Jimmy Palumbo, Domenick Lombardozzi, Stan Carp, Vincent Pastore, Jon Freda, Michael J. Panichelli Jr., Paul Borghese, Anthony Desio, Ted Arcidi, David Belle",6.3,Robert De Niro  Michelle Pfeiffer  Dianna Agron  John D'Leo  Tommy Lee Jones  Jimmy Palumbo  Domenick Lombardozzi  Stan Carp  Vincent Pastore  Jon Freda  Michael J. Panichelli Jr.  Paul Borghese  Anthony Desio  Ted Arcidi  David Belle Luc Besson Comedy  Crime  Thriller
woman in gold,2015-04-10,"Biography, Drama, History",Simon Curtis,"Helen Mirren, Ryan Reynolds, Daniel Brühl, Katie Holmes, Tatiana Maslany, Max Irons, Charles Dance, Antje Traue, Elizabeth McGovern, Jonathan Pryce, Frances Fisher, Moritz Bleibtreu, Tom Schilling, Allan Corduner, Henry Goodman",7.3,Helen Mirren  Ryan Reynolds  Daniel Brühl  Katie Holmes  Tatiana Maslany  Max Irons  Charles Dance  Antje Traue  Elizabeth McGovern  Jonathan Pryce  Frances Fisher  Moritz Bleibtreu  Tom Schilling  Allan Corduner  Henry Goodman Simon Curtis Biography  Drama  History
the magnificent seven,2016-09-23,"Action, Adventure, Western",Antoine Fuqua,"Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio, Byung-Hun Lee, Manuel Garcia-Rulfo, Martin Sensmeier, Haley Bennett, Peter Sarsgaard, Luke Grimes, Matt Bomer, Jonathan Joss, Cam Gigandet, Emil Beheshti, Mark Ashworth",6.9,Denzel Washington  Chris Pratt  Ethan Hawke  Vincent D'Onofrio  Byung-Hun Lee  Manuel Garcia-Rulfo  Martin Sensmeier  Haley Bennett  Peter Sarsgaard  Luke Grimes  Matt Bomer  Jonathan Joss  Cam Gigandet  Emil Beheshti  Mark Ashworth Antoine Fuqua Action  Adventure  Western
le passé,2014-03-28,"Drama, Mystery",Asghar Farhadi,"Bérénice Bejo, Ali Mosaffa, Tahar Rahim, Pauline Burlet, Elyes Aguis, Jeanne Jestin, Sabrina Ouazani, Babak Karimi, Valéria Cavalli, Aleksandra Klebanska, Jean-Michel Simonet, Pierre Guerder, Anne-Marion de Cayeux, Eléonora Marino, Jonathan Devred",7.8,Bérénice Bejo  Ali Mosaffa  Tahar Rahim  Pauline Burlet  Elyes Aguis  Jeanne Jestin  Sabrina Ouazani  Babak Karimi  Valéria Cavalli  Aleksandra Klebanska  Jean-Michel Simonet  Pierre Guerder  Anne-Marion de Cayeux  Eléonora Marino  Jonathan Devred Asghar Farhadi Drama  Mystery
the heat,2013-07-31,"Action, Comedy, Crime",Paul Feig,"Sandra Bullock, Melissa McCarthy, Demián Bichir, Marlon Wayans, Michael Rapaport, Jane Curtin, Spoken Reasons, Dan Bakkedahl, Taran Killam, Michael McDonald, Thomas F. Wilson, Peter Weireter, John Ross Bowie, William Xifaras, Cary 'Big Shug' Guy",6.6,Sandra Bullock  Melissa McCarthy  Demián Bichir  Marlon Wayans  Michael Rapaport  Jane Curtin  Spoken Reasons  Dan Bakkedahl  Taran Killam  Michael McDonald  Thomas F. Wilson  Peter Weireter  John Ross Bowie  William Xifaras  Cary 'Big Shug' Guy Paul Feig Action  Comedy  Crime
copperhead,2013-06-28,Drama,Ron Maxwell,"François Arnaud, Lucy Boynton, Casey Thomas Brown, Billy Campbell, Mary Fay Coady, Josh Cruddas, Ryan Doucette, Brian Downey, Ryan Drost, Rod Ernest, Peter Fonda, Scott Horton, Brian Jamieson, Walter Learning, Stephen LeBail",5.5,François Arnaud  Lucy Boynton  Casey Thomas Brown  Billy Campbell  Mary Fay Coady  Josh Cruddas  Ryan Doucette  Brian Downey  Ryan Drost  Rod Ernest  Peter Fonda  Scott Horton  Brian Jamieson  Walter Learning  Stephen LeBail Ron Maxwell Drama
atomic blonde,2017-08-09,"Action, Mystery, Thriller",David Leitch,"Charlize Theron, James McAvoy, Eddie Marsan, John Goodman, Toby Jones, James Faulkner, Roland Møller, Sofia Boutella, Bill Skarsgård, Sam Hargrave, Jóhannes Haukur Jóhannesson, Til Schweiger, Barbara Sukowa, Attila C. Arpa, Martin Angerbauer",6.7,Charlize Theron  James McAvoy  Eddie Marsan  John Goodman  Toby Jones  James Faulkner  Roland Møller  Sofia Boutella  Bill Skarsgård  Sam Hargrave  Jóhannes Haukur Jóhannesson  Til Schweiger  Barbara Sukowa  Attila C. Arpa  Martin Angerbauer David Leitch Action  Mystery  Thriller
test,2014-04-04,Drama,Chris Mason Johnson,"Scott Marlowe, Matthew Risch, Evan Boomer, Kevin Clarke, Kristoffer Cusick, Rory Hohenstein, Damon K. Sperber, Myles Thatcher, Katherine Wells, Sergio Benvindo, Madison Keesler, Andre Mathieu, James Sofranko",6.5,Scott Marlowe  Matthew Risch  Evan Boomer  Kevin Clarke  Kristoffer Cusick  Rory Hohenstein  Damon K. Sperber  Myles Thatcher  Katherine Wells  Sergio Benvindo  Madison Keesler  Andre Mathieu  James Sofranko Chris Mason Johnson Drama
open windows,2014-07-04,"Crime, Horror, Thriller",Nacho Vigalondo,"Elijah Wood, Sasha Grey, Neil Maskell, Adam Quintero, Iván González, Jaime Olías, Jake Klamburg, Daniel Pérez Prada, Rachel Arieff, Michelle Jenner, Julián Villagrán, Carlos Areces, Raúl Cimas, Miguel Noguera, Nacho Vigalondo",5.2,Elijah Wood  Sasha Grey  Neil Maskell  Adam Quintero  Iván González  Jaime Olías  Jake Klamburg  Daniel Pérez Prada  Rachel Arieff  Michelle Jenner  Julián Villagrán  Carlos Areces  Raúl Cimas  Miguel Noguera  Nacho Vigalondo Nacho Vigalondo Crime  Horror  Thriller
los insólitos peces gato,2014-05-28,"Comedy, Drama",Claudia Sainte-Luce,"Lisa Owen, Ximena Ayala, Sonia Franco, Wendy Guillén, Andrea Baeza, Alejandro Ramírez-Muñoz, Vera Wilson, Cynthia Bordes, José Manuel Orozco Angulo, Sara Isabel Quintero, Antón Araiza, Carlos Hoeflich, Miriam Carsi, Sofía López, Rocío Montiel",7.0,Lisa Owen  Ximena Ayala  Sonia Franco  Wendy Guillén  Andrea Baeza  Alejandro Ramírez-Muñoz  Vera Wilson  Cynthia Bordes  José Manuel Orozco Angulo  Sara Isabel Quintero  Antón Araiza  Carlos Hoeflich  Miriam Carsi  Sofía López  Rocío Montiel Claudia Sainte-Luce Comedy  Drama
swim little fish swim,2014-06-04,"Comedy, Drama, Music","Ruben Amar, Lola Bessis","Dustin Guy Defa, Lola Bessis, Brooke Bloom, Anne Consigny, Olivia Costello, Makeda Declet, Paul Manza, Joy Seligsohn, Carl Titolo, Janice Hall, Richard Buonagurio, Tony Mann, Alec Betterley, Colin Summers, Jacob Rose",6.8,Dustin Guy Defa  Lola Bessis  Brooke Bloom  Anne Consigny  Olivia Costello  Makeda Declet  Paul Manza  Joy Seligsohn  Carl Titolo  Janice Hall  Richard Buonagurio  Tony Mann  Alec Betterley  Colin Summers  Jacob Rose Ruben Amar  Lola Bessis Comedy  Drama  Music
philomena,2013-11-01,"Biography, Comedy, Drama",Stephen Frears,"Judi Dench, Steve Coogan, Sophie Kennedy Clark, Mare Winningham, Barbara Jefford, Ruth McCabe, Peter Hermann, Sean Mahon, Anna Maxwell Martin, Michelle Fairley, Wunmi Mosaku, Amy McAllister, Charlie Murphy, Cathy Belton, Kate Fleetwood",7.6,Judi Dench  Steve Coogan  Sophie Kennedy Clark  Mare Winningham  Barbara Jefford  Ruth McCabe  Peter Hermann  Sean Mahon  Anna Maxwell Martin  Michelle Fairley  Wunmi Mosaku  Amy McAllister  Charlie Murphy  Cathy Belton  Kate Fleetwood Stephen Frears Biography  Comedy  Drama
project almanac,2015-02-16,"Drama, Mystery, Sci-Fi",Dean Israelite,"Jonny Weston, Sofia Black-D'Elia, Sam Lerner, Allen Evangelista, Virginia Gardner, Amy Landecker, Gary Weeks, Macsen Lintz, Gary Grubbs, Michelle DeFraites, Curry Stone, Jamila Thompson, Katie Garfield, Hillary Harley, Courtney Bowers",6.4,Jonny Weston  Sofia Black-D'Elia  Sam Lerner  Allen Evangelista  Virginia Gardner  Amy Landecker  Gary Weeks  Macsen Lintz  Gary Grubbs  Michelle DeFraites  Curry Stone  Jamila Thompson  Katie Garfield  Hillary Harley  Courtney Bowers Dean Israelite Drama  Mystery  Sci-Fi
taken 3,2015-01-08,"Action, Thriller",Olivier Megaton,"Liam Neeson, Forest Whitaker, Famke Janssen, Maggie Grace, Dougray Scott, Sam Spruell, Don Harvey, Dylan Bruno, Leland Orser, David Warshofsky, Jon Gries, Jonny Weston, Andrew Borba, Judi Beecher, Andrew Howard",6.0,Liam Neeson  Forest Whitaker  Famke Janssen  Maggie Grace  Dougray Scott  Sam Spruell  Don Harvey  Dylan Bruno  Leland Orser  David Warshofsky  Jon Gries  Jonny Weston  Andrew Borba  Judi Beecher  Andrew Howard Olivier Megaton Action  Thriller
joy,2016-01-01,Drama,David O. Russell,"Jennifer Lawrence, Robert De Niro, Bradley Cooper, Edgar Ramírez, Diane Ladd, Virginia Madsen, Isabella Rossellini, Dascha Polanco, Elisabeth Röhm, Susan Lucci, Laura Wright, Maurice Benard, Donna Mills, Jimmy Jean-Louis, Ken Howard",6.6,Jennifer Lawrence  Robert De Niro  Bradley Cooper  Edgar Ramírez  Diane Ladd  Virginia Madsen  Isabella Rossellini  Dascha Polanco  Elisabeth Röhm  Susan Lucci  Laura Wright  Maurice Benard  Donna Mills  Jimmy Jean-Louis  Ken Howard David O. Russell Drama
the peanuts movie,2015-12-21,"Animation, Adventure, Comedy",Steve Martino,"Trombone Shorty, Rebecca Bloom, Anastasia Bredikhina, Francesca Capaldi, Kristin Chenoweth, Alexander Garfin, Noah Johnston, Bill Melendez, Hadley Belle Miller, Micah Revelli, Noah Schnapp, Venus Schultheis, Mariel Sheets, Madisyn Shipman, A.J. Tecce",7.1,Trombone Shorty  Rebecca Bloom  Anastasia Bredikhina  Francesca Capaldi  Kristin Chenoweth  Alexander Garfin  Noah Johnston  Bill Melendez  Hadley Belle Miller  Micah Revelli  Noah Schnapp  Venus Schultheis  Mariel Sheets  Madisyn Shipman  A.J. Tecce Steve Martino Animation  Adventure  Comedy
isn't it romantic,2019-02-13,"Comedy, Fantasy, Romance",Todd Strauss-Schulson,"Rebel Wilson, Liam Hemsworth, Adam Devine, Priyanka Chopra, Betty Gilpin, Brandon Scott Jones, Jennifer Saunders, Alex Kis, Jay Oakerson, Rao Rampilla, Marcus Choi, Hugh Sheridan, Luciano Acuna Jr., Ray Anthony Thomas, Zach Cherry",5.9,Rebel Wilson  Liam Hemsworth  Adam Devine  Priyanka Chopra  Betty Gilpin  Brandon Scott Jones  Jennifer Saunders  Alex Kis  Jay Oakerson  Rao Rampilla  Marcus Choi  Hugh Sheridan  Luciano Acuna Jr.  Ray Anthony Thomas  Zach Cherry Todd Strauss-Schulson Comedy  Fantasy  Romance
masterminds,2016-09-30,"Comedy, Crime",Jared Hess,"Zach Galifianakis, Kristen Wiig, Owen Wilson, Ross Kimball, Jason Sudeikis, Devin Ratray, Mary Elizabeth Ellis, Kate McKinnon, Leslie Jones, Jon Daly, Ken Marino, Daniel Zacapa, Tom Werme, Njema Williams, Nils Cruz",5.8,Zach Galifianakis  Kristen Wiig  Owen Wilson  Ross Kimball  Jason Sudeikis  Devin Ratray  Mary Elizabeth Ellis  Kate McKinnon  Leslie Jones  Jon Daly  Ken Marino  Daniel Zacapa  Tom Werme  Njema Williams  Nils Cruz Jared Hess Comedy  Crime
hateship loveship,2014-06-12,"Drama, Romance",Liza Johnson,"Kristen Wiig, Guy Pearce, Hailee Steinfeld, Jennifer Jason Leigh, Sami Gayle, Christine Lahti, Nick Nolte, Lauren Swinney, Jeff Pope, Joel K. Berger, Don Brady, Becki Davis, Peggy Walton-Walker, Douglas M. Griffin, Tony Bentley",6.1,Kristen Wiig  Guy Pearce  Hailee Steinfeld  Jennifer Jason Leigh  Sami Gayle  Christine Lahti  Nick Nolte  Lauren Swinney  Jeff Pope  Joel K. Berger  Don Brady  Becki Davis  Peggy Walton-Walker  Douglas M. Griffin  Tony Bentley Liza Johnson Drama  Romance
the single moms club,2014-03-14,"Comedy, Drama",Tyler Perry,"Nia Long, Wendi McLendon-Covey, Amy Smart, Zulay Henao, Cocoa Brown, Ryan Eggold, Tyler Perry, William Levy, Terry Crews, Katherine Shepler, Cassie Brennan, Massai Z. Dorsey, Vanessa Velasco, DeVion Harris, Eddie Cibrian",5.3,Nia Long  Wendi McLendon-Covey  Amy Smart  Zulay Henao  Cocoa Brown  Ryan Eggold  Tyler Perry  William Levy  Terry Crews  Katherine Shepler  Cassie Brennan  Massai Z. Dorsey  Vanessa Velasco  DeVion Harris  Eddie Cibrian Tyler Perry Comedy  Drama
and so it goes,2014-07-18,"Comedy, Drama, Romance",Rob Reiner,"Michael Douglas, Diane Keaton, Sterling Jerins, Annie Parisse, Austin Lysy, Michael Terra, Sawyer Simpkins, Maxwell Simkins, Maurice Jones, Yaya DaCosta, Scott Shepherd, Andy Karl, Frances Sternhagen, Frankie Valli, Luke Robertson",5.8,Michael Douglas  Diane Keaton  Sterling Jerins  Annie Parisse  Austin Lysy  Michael Terra  Sawyer Simpkins  Maxwell Simkins  Maurice Jones  Yaya DaCosta  Scott Shepherd  Andy Karl  Frances Sternhagen  Frankie Valli  Luke Robertson Rob Reiner Comedy  Drama  Romance
il capitale umano,2014-01-09,Drama,Paolo Virzì,"Fabrizio Bentivoglio, Matilde Gioli, Valeria Bruni Tedeschi, Guglielmo Pinelli, Fabrizio Gifuni, Gigio Alberti, Valeria Golino, Silvia Cohen, Luigi Lo Cascio, Bebo Storti, Giovanni Anzaldo, Paolo Pierobon, Gianluca Di Lauro, Stefano Fiorentino, Fulvio Milani",7.3,Fabrizio Bentivoglio  Matilde Gioli  Valeria Bruni Tedeschi  Guglielmo Pinelli  Fabrizio Gifuni  Gigio Alberti  Valeria Golino  Silvia Cohen  Luigi Lo Cascio  Bebo Storti  Giovanni Anzaldo  Paolo Pierobon  Gianluca Di Lauro  Stefano Fiorentino  Fulvio Milani Paolo Virzì Drama
left behind,2014-10-03,"Action, Drama, Fantasy",Vic Armstrong,"Nicolas Cage, Chad Michael Murray, Cassi Thomson, Nicky Whelan, Jordin Sparks Thomas, Lea Thompson, Gary Grubbs, Quinton Aaron, Martin Klebba, Georgina Armstrong, Han Soto, Alec Rayme, Kamryn Johnson, Lauren Swinney, Major Dodson",3.1,Nicolas Cage  Chad Michael Murray  Cassi Thomson  Nicky Whelan  Jordin Sparks Thomas  Lea Thompson  Gary Grubbs  Quinton Aaron  Martin Klebba  Georgina Armstrong  Han Soto  Alec Rayme  Kamryn Johnson  Lauren Swinney  Major Dodson Vic Armstrong Action  Drama  Fantasy
paranormal activity: the ghost dimension,2015-10-23,"Horror, Mystery, Thriller",Gregory Plotkin,"Chris J. Murray, Brit Shaw, Ivy George, Dan Gill, Olivia Taylor Dudley, Chloe Csengery, Jessica Tyler Brown, Don McManus, Michael Krawic, Hallie Foote, Aiden Lovekamp, Cara Pifko, Mark Steger",4.6,Chris J. Murray  Brit Shaw  Ivy George  Dan Gill  Olivia Taylor Dudley  Chloe Csengery  Jessica Tyler Brown  Don McManus  Michael Krawic  Hallie Foote  Aiden Lovekamp  Cara Pifko  Mark Steger Gregory Plotkin Horror  Mystery  Thriller
